timestamp,itemid,property,value
1.43E+12,396318,283,1249027 820477 783066 475741 677200 n36.000 1249027 1297729 820477 96063 707081 n72.000 375545 384212 1215254 1123780 1313814 1308676 263517 883577 1249027 150169 461022 1283044 30603 1277301 1073641 24927 1244358 117991 207856 718248 173467
1.43E+12,251813,790,n15480.000
1.44E+12,139898,888,694455 726612
1.43E+12,391131,888,1270889 n1296.000 628176
1.44E+12,461765,335,769062
1.44E+12,140861,790,n46080.000
1.44E+12,197245,888,416876
1.43E+12,191101,839,71304
1.43E+12,45121,available,0
1.43E+12,14974,categoryid,1574
1.43E+12,277651,678,820477
1.43E+12,392392,888,195184 237874 971646 n288.000 424566 1115 1297729 n12.000 908104
1.44E+12,16813,591,1116693
1.44E+12,165348,1007,769062
1.44E+12,433059,104,1297729 n1200.000 10317
1.43E+12,262159,917,n713162508.000
1.43E+12,399053,776,565661
1.43E+12,421884,790,n231480.000
1.43E+12,291689,available,1
1.44E+12,31514,available,1
1.44E+12,420871,888,1252336 1149392 784581 1297729 n36.000 350726 30603 832471
1.44E+12,248816,888,95480 1154859
1.44E+12,392392,19,1297729 n12.000 908104
1.44E+12,347974,496,357961 986363 363182 357961 549517 464704 789585 720503 n61.200 464704 826669 1176545
1.43E+12,154912,888,417865 419745 1082131
1.43E+12,298868,available,1
1.44E+12,277651,888,1306558 726612
1.43E+12,315545,159,519769
1.44E+12,21989,928,309080
1.44E+12,150217,364,191304
1.43E+12,177478,450,769062
1.44E+12,235224,888,1305664 1181691
1.44E+12,341548,65,769062
1.43E+12,391289,790,n75240.000
1.43E+12,81075,categoryid,834
1.44E+12,200537,764,1285872
1.44E+12,332761,581,472016 472016 181384 1041261 191208
1.44E+12,213464,364,805641
1.44E+12,233770,915,325894 1325686 1302225 150169 1098338 530843 57450 703408 718248 807503 320245 45447 703408 505888 72261 505888
1.44E+12,198209,available,1
1.44E+12,294632,917,579360
1.44E+12,305786,888,321194 n784176.000 409412 1318567
1.43E+12,379002,available,0
1.44E+12,306886,225,1066831 n21600.000 1066831 n22800.000 1066831 n10800.000 951585 558443 n21600.000 558443 n25200.000 558443 n31200.000 558443 n9600.000 558443 n10800.000 973211 1046037 n25200.000 973211 1046037 n10800.000
1.44E+12,51354,888,875827 n103356.000
1.43E+12,59467,364,1136494
1.44E+12,55364,790,n14388.000
1.43E+12,262917,227,1285402 1042990
1.43E+12,327424,available,1
1.43E+12,82174,678,1115724
1.43E+12,253353,42,508704 n60.000
1.43E+12,234162,790,n15240.000
1.44E+12,372688,30,769062
1.44E+12,122604,available,1
1.43E+12,379520,790,n28560.000
1.43E+12,355908,159,519769
1.43E+12,207581,283,774477 881773 833538 1009803 790866 621946 833538 774477 881773 1140760 621946 1306028 774477 881773 1312392 849506 1128577 757111 30603 533127 582690 19090 989750 346602 1032895 972085 30603 508571 1057788 1128577 1024083
1.44E+12,305760,821,1128577 1201794 1279422 1241026 639502 n516.000 424566 780542 639502 n384.000 424566 416121 639502 n588.000 424566 1128577 126278 1279422 1241026 639502 n1080.000 424566 780542 639502 n624.000 424566 416121 639502 n840.000 424566
1.43E+12,310791,28,150169 585636 30603 752414
1.43E+12,245879,227,784788 1033990
1.44E+12,77884,790,n453000.000
1.44E+12,262159,364,655131
1.44E+12,389644,884,n23040.000 628176 n12960.000
1.44E+12,311052,available,1
1.43E+12,63184,790,n65520.000
1.43E+12,347194,283,1115859 754680 138961 237874 1238744 195184 754680 138961 224903 639502 150169 610517 1297729 261772 350726 30603 832471 237874 658406 1292235 1065616 269926 610517 1075775 550646 1096082 493696 1124417 868573 30603 703408 276537 30603 709553 901561 1080764 737414 31552 386817
1.44E+12,137633,888,1024724 963899 992862 951748 1300851 n20.400 1135780 1284577 n207.600 1284577 n19200.000 628176 n10800.000 134030 1284577 n96.000 1187104 1284577 n12.000 1175087 n12.000 1072114 1284577 1186729 681805 1284577 618514 980588 465272 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000
1.44E+12,167271,888,1196991 1156852
1.44E+12,37029,790,n275760.000
1.44E+12,46097,378,491900
1.44E+12,375492,available,1
1.44E+12,25427,888,97272 916731 726612 648014 1284577 575349
1.43E+12,277276,6,460346 630194
1.43E+12,367667,790,n20160.000
1.44E+12,225083,581,472016 181384 1041261 191208
1.44E+12,396318,581,472016 1021749 181384
1.44E+12,463238,595,1298303
1.44E+12,189429,678,922011 840490
1.44E+12,197005,981,664227 1305534 664227 769062
1.43E+12,159603,790,n17280.000
1.44E+12,106279,888,709821 n768.000 590055 785673 1318567
1.43E+12,259455,102,n300.000 396934
1.44E+12,176162,790,n32640.000
1.43E+12,8501,348,422480 726714
1.43E+12,44872,764,1285872
1.44E+12,262159,888,1051803 1059499 n713162508.000 992862 647924 728044 n25.920 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n24.000 1187104 1284577 n12.000 1175087 n3840.000 1187104 1284577 491900 1284577 992862 625815 1119999 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000 1154859
1.44E+12,24855,993,626747
1.43E+12,313203,28,150169 274770 79212
1.43E+12,137633,101,769062
1.44E+12,341548,202,710419 1318697
1.43E+12,122604,355,586893
1.43E+12,336552,839,309875 486553
1.43E+12,157361,888,442366
1.44E+12,167484,6,1283144 353870
1.43E+12,49347,941,348125 150169 114326 292481
1.44E+12,323280,available,0
1.43E+12,112568,19,1297729 n24.000 350726 30603 832471
1.44E+12,375588,790,n39000.000
1.44E+12,69408,202,511615 540613 1237530 1124417
1.43E+12,142075,112,679677
1.43E+12,455006,689,150169 610517
1.43E+12,37583,available,1
1.43E+12,137440,1066,n544.800 424566
1.44E+12,356320,628,769062
1.44E+12,202835,915,604620 994670 938027
1.43E+12,47457,974,127030
1.44E+12,272563,790,n176592.000
1.43E+12,113646,790,n93360.000
1.44E+12,115244,790,n20520.000
1.44E+12,191101,888,1040244 726612
1.44E+12,278679,888,1147482 674178 762848 823451 86628
1.44E+12,329693,120,803915 923584 1062064 62852 945042
1.44E+12,102229,888,1058682 1025080 n118200.000 n30.000 1135780
1.44E+12,161166,available,1
1.44E+12,181576,available,0
1.43E+12,152085,465,n96.000 964443
1.44E+12,259487,available,1
1.43E+12,162243,917,684367 801448
1.44E+12,37583,888,1907 1324053 162918 575349 1284577 206386
1.44E+12,391289,available,1
1.43E+12,205392,790,n407520.000
1.44E+12,466501,790,n425880.000
1.44E+12,107853,888,1122694 710086 1284577 635635
1.44E+12,57284,888,447296 234049 n61200.000
1.44E+12,262159,451,1141052 n48.000 140719 553394
1.43E+12,128394,619,n3840.000 1187104
1.43E+12,344224,764,1285872
1.44E+12,58729,581,472016 472016 1021749 472016 181384 1041261 191208
1.44E+12,356236,698,1152934 1238769
1.43E+12,392074,159,519769
1.44E+12,93900,888,888666 1333963 927133 385480 1297729 n24.000 350726 30603 832471
1.44E+12,331725,available,0
1.43E+12,355994,790,n183120.000
1.44E+12,379752,790,n627360.000
1.43E+12,286065,227,809780 235763
1.43E+12,49810,935,769062
1.43E+12,5206,categoryid,927
1.44E+12,239020,categoryid,1613
1.43E+12,36642,189,567120 839242
1.43E+12,440128,1090,769062
1.43E+12,309403,908,322954 237874 380713 77690
1.43E+12,377474,888,785576 628176
1.44E+12,343878,867,769062
1.43E+12,28540,678,435885
1.43E+12,248816,580,769062
1.44E+12,134118,790,n127560.000
1.43E+12,386056,categoryid,499
1.43E+12,444848,240,1116693
1.43E+12,296594,categoryid,1542
1.43E+12,390232,888,5135 453044 992862 951748 1137726 n21.600 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n96.000 1187104 1284577 n12.000 1072114 1284577 1186729 769062 1284577 1055803 1164666 613243 137425 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000
1.44E+12,199952,202,878583
1.43E+12,21886,678,219473
1.44E+12,380493,12,181384
1.43E+12,125810,678,910491
1.43E+12,250212,689,150169 1002405
1.43E+12,172063,categoryid,1213
1.44E+12,299044,790,n44160.000
1.43E+12,247061,917,1227306
1.43E+12,285729,776,716830
1.44E+12,398579,335,287958
1.44E+12,122834,688,901881 729388
1.44E+12,202835,790,n59400.000
1.43E+12,203679,839,71304
1.44E+12,389118,available,1
1.43E+12,291770,776,1101943
1.44E+12,272563,283,303149 1290698 237874 915613 1067972 1127335 303149 1214748 1290698 347338 1311459 149279 418473 150169 1276569 1177237 581854 469750 312815 1085228 610340 1244358 1152348 782399 657999 998064 30603 249416 1078708 148839 767591 918358 87836
1.43E+12,34435,283,265117 176870 1142356 n490824.000 1187622 332013 677782 176870 1142356 260598 1063382 234632 n636.000 754548 1144008 3110 150169 23485 728656 16970 1040333 30603 1254449 839723 98427 1128577 228822 728656 615344 117991 39986 1308676 263517 1128577 709745 1283044 30603 1128577 719390
1.43E+12,273743,available,1
1.43E+12,463280,available,1
1.44E+12,159780,790,n50964.000
1.44E+12,183087,112,679677
1.44E+12,48743,630,545762
1.43E+12,257952,888,153900 363182 n12072600.000
1.44E+12,98728,790,n72240.000
1.43E+12,60376,202,n750420.000
1.44E+12,46130,1032,703585
1.43E+12,260256,698,1189968
1.43E+12,341548,1051,1312959
1.44E+12,138273,available,0
1.44E+12,329693,978,1003915 856768 116566 940076 677003 17670 1010684 314197 1066164 647240
1.44E+12,65889,696,717520 1240261 903287 1240261
1.44E+12,426550,451,680408
1.43E+12,227628,6,598588 150169 410229 150169 112336
1.43E+12,250658,665,304310
1.43E+12,443030,categoryid,1098
1.44E+12,219936,602,618514 980588
1.43E+12,13021,6,402775 237874 1262412
1.44E+12,58729,496,357961 549517
1.44E+12,157078,451,785394
1.43E+12,354701,841,1302691 318063 n24.000 242498
1.44E+12,63312,categoryid,491
1.43E+12,34435,available,1
1.44E+12,361103,888,437265 621217 n48.000 n121.200 333373 831479 973211 n14.400 1135780 1284577 n121.200 1284577 n15360.000 628176 n8640.000 1284577 n18.000 1187104 1284577 1186729 769062 1284577 1141052 n48.000 288796 1284577 414047 1078259 n52.800 1154859
1.44E+12,315545,available,1
1.44E+12,336393,790,n31440.000
1.44E+12,396318,120,769062
1.43E+12,350689,available,1
1.43E+12,347937,678,784621
1.44E+12,188148,available,0
1.44E+12,143486,available,0
1.44E+12,200537,790,n259680.000
1.43E+12,82174,400,269011 n720.000 424566
1.44E+12,150318,790,n67080.000
1.44E+12,60376,available,0
1.43E+12,293687,790,n26640.000
1.44E+12,139068,888,n1215672.000
1.43E+12,157361,777,1116693
1.44E+12,256368,available,1
1.44E+12,305786,400,n552.000 639502 n720.000 424566
1.44E+12,80622,981,664227 288796 288796 23770 769062
1.43E+12,167587,available,1
1.44E+12,267196,790,n27000.000
1.44E+12,360173,581,91525 472016 472016 181384 1041261 191208
1.44E+12,337348,790,n63840.000
1.43E+12,377474,790,n103920.000
1.43E+12,89675,159,519769
1.44E+12,58869,1032,98606 1015535
1.44E+12,306344,227,755013
1.44E+12,46130,available,1
1.43E+12,141264,364,449544
1.43E+12,115586,227,977762
1.43E+12,304877,790,n37800.000
1.44E+12,112568,521,769062
1.43E+12,462203,888,244081 363182 635635
1.44E+12,30024,678,6517 1009260
1.44E+12,389644,159,519769
1.44E+12,385769,935,769062
1.44E+12,69533,790,n164160.000
1.43E+12,102229,283,537209 1058682 1055803 1058682 1025080 n118200.000 468731 269774 380713 460346 410200 237874 43441 16970 857932 990716 80043 537209 1055803 1058682 n108000.000 375545 717971 228574 379482 694987 703408 1243756 971212 666094 1273813
1.43E+12,379752,678,1115724
1.43E+12,182099,188,n600.000 10317
1.44E+12,167484,698,727274 9705
1.44E+12,385376,available,1
1.44E+12,44220,888,294352 422480 616467
1.44E+12,367447,0,119932 754228 801383 471403 801383 693640 98606 632686 406473 440924 680327 768453 414047 858644 145994 1113685 836115 386093 1324705 426922
1.44E+12,58869,698,1037547
1.43E+12,306256,558,984245 1322342
1.44E+12,21989,591,1116693
1.44E+12,332761,790,n231960.000
1.43E+12,103076,452,992862 951748 103615
1.44E+12,165348,790,n13560.000
1.44E+12,392392,810,n288.000 424566
1.43E+12,334432,available,1
1.44E+12,30513,888,898004 1020928 373898 784581 1203131 1297729 n36.000 350726 30603 832471
1.44E+12,80622,42,1149831
1.44E+12,436461,566,1297729 n780.000 1178208 n900.000 424566
1.43E+12,12523,451,973211
1.44E+12,394254,888,581321 1131057 1318567
1.44E+12,461301,790,n6000.000
1.44E+12,255275,790,n5760.000
1.43E+12,67182,790,n46440.000
1.44E+12,302948,581,472016 472016 181384 1041261 191208
1.43E+12,161346,888,93254 877067 176870
1.43E+12,348196,917,280753
1.43E+12,72011,available,1
1.44E+12,429607,62,530843
1.44E+12,138114,888,n24.000 459719
1.44E+12,204785,400,n552.000 639502 n720.000 424566
1.43E+12,93144,available,1
1.44E+12,59691,490,243742 647527 162165
1.43E+12,255708,available,1
1.44E+12,174955,categoryid,1177
1.44E+12,272563,698,303149 1290698 237874 915613
1.44E+12,36906,790,n345600.000
1.43E+12,337358,678,607552
1.44E+12,50048,790,n278280.000
1.44E+12,198209,888,1051803 1059499 n713162556.000 992862 677128 221748 1185589 n25.920 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n24.000 1187104 1284577 n12.000 1175087 n3840.000 1187104 1284577 491900 1284577 992862 625815 1119999 1284577 1141052 n24.000 288796 1284577 842796 1154859
1.43E+12,239020,696,769062
1.43E+12,154413,776,791766
1.44E+12,388097,available,0
1.43E+12,284941,categoryid,1253
1.44E+12,182642,888,648485 n2400.000 1318567
1.43E+12,427923,available,1
1.43E+12,248676,888,857982
1.44E+12,188558,758,n18.000 1187104
1.44E+12,190545,888,838163 1318567
1.43E+12,396238,400,269011 n720.000 424566
1.44E+12,67438,400,n552.000 639502 n720.000 424566
1.44E+12,80502,790,n48240.000
1.43E+12,328025,790,n29220.000
1.43E+12,436461,790,n310680.000
1.44E+12,257952,678,392514 1052766
1.43E+12,56763,6,1065616 703408 1037495
1.44E+12,156108,available,1
1.44E+12,188698,981,769062
1.43E+12,216305,1030,140221
1.43E+12,325319,19,1297729 n36.000 350726 30603 832471
1.43E+12,161951,790,n6840.000
1.44E+12,328696,776,169341
1.44E+12,402110,790,n129564.000
1.43E+12,326449,790,n154200.000
1.43E+12,396238,available,1
1.44E+12,272187,581,191208
1.44E+12,188558,790,n173280.000
1.43E+12,285729,1058,n36.000
1.43E+12,50814,839,820477
1.43E+12,449010,available,1
1.43E+12,267010,888,433434 521441
1.43E+12,154703,619,n6000.000 1187104
1.43E+12,87824,917,263574
1.43E+12,386146,790,n10920.000
1.43E+12,297513,753,769062
1.44E+12,253615,790,n241440.000
1.44E+12,268881,25,466400 1226584 1211562
1.44E+12,305786,790,n418200.000
1.43E+12,168527,888,253573 n42000.000 1324910 1267107 160468 992862 647924 1284577 342994 1284577 n36.000 1135780 1284577 n48.000 1187104 539109 661116 1257525 1284577 n6000.000 1187104 1284577 992862 625815 1119999 1284577 842796 1284577 1076034
1.43E+12,41217,790,n64680.000
1.44E+12,20388,839,459906
1.43E+12,131383,917,n1548.000 131439
1.43E+12,15327,1097,n576.000 655992
1.43E+12,315543,available,1
1.44E+12,268266,790,n100440.000
1.43E+12,319910,839,1204938
1.44E+12,398579,790,n413880.000
1.44E+12,443030,888,1326860 262978 1133979 86628
1.43E+12,165816,364,867189
1.44E+12,250696,978,684814 234274 670342
1.43E+12,319910,59,769062
1.43E+12,356320,888,291128
1.43E+12,91249,790,n153840.000
1.44E+12,259455,available,0
1.44E+12,316135,790,n13680.000
1.43E+12,427923,283,1249027 212349 442719 1125894 212349 26595 237874 996394 n504.000 606827 688467 1215254 653939 1238719 160952 1297729 1058996 23600 30603 1024892 1128577 1065281 934740 625815 991263 1323749 237874 621351 1057703 1034695 1142575 1301497 333089 374631
1.43E+12,58729,355,586893
1.44E+12,284600,689,150169 1263524
1.44E+12,261865,790,n10044.000
1.44E+12,65286,713,1203131
1.43E+12,275648,761,n3.768 190776
1.44E+12,316135,325,20786 1186610
1.44E+12,162345,888,929690 1318567
1.43E+12,355908,available,1
1.43E+12,360403,400,1133587 424566
1.44E+12,202719,976,n18.000 1135780
1.43E+12,190172,6,1249027
1.44E+12,250696,496,1276034 999874 357961 986363 357961 253573 999874 632043 464704 556268 98606 1015535
1.44E+12,37945,available,0
1.44E+12,204070,available,0
1.44E+12,71846,888,853231 1330872
1.43E+12,38913,364,239180
1.43E+12,341548,790,n28920.000
1.44E+12,371590,790,n23760.000
1.43E+12,428805,790,n237120.000
1.44E+12,161688,790,n108120.000
1.44E+12,334662,790,n24600.000
1.44E+12,396045,available,0
1.44E+12,402110,64,769062
1.44E+12,265482,19,1297729 n48.000 350726 30603 832471
1.43E+12,122604,839,202346
1.44E+12,257040,888,816922 551231 1284577 635635
1.44E+12,122834,790,n96840.000
1.43E+12,374673,790,n112200.000
1.43E+12,335041,506,1007882 1284577 309080
1.44E+12,465522,764,1285872
1.44E+12,387279,790,n224280.000
1.44E+12,38403,available,0
1.44E+12,218505,839,727372
1.43E+12,421884,839,1115724
1.43E+12,71957,available,1
1.43E+12,279976,915,320245 45447 703408 505888
1.44E+12,24855,888,298807 726612
1.44E+12,427923,581,472016 472016 1021749 472016 181384 191208
1.43E+12,231243,categoryid,29
1.43E+12,281958,888,n23172.000 690687 610340 913084 834057
1.43E+12,115525,790,n59880.000
1.44E+12,183178,202,662332
1.44E+12,93144,790,n58560.000
1.44E+12,261320,available,0
1.44E+12,190172,1032,703585 499075 1277894 98606 535924
1.44E+12,150318,888,1265514 1224110 734600 629205
1.44E+12,231243,available,1
1.44E+12,184370,790,n839880.000
1.44E+12,60918,available,0
1.44E+12,30024,available,1
1.44E+12,140861,888,n13308.000 1133979
1.44E+12,265166,888,476398
1.44E+12,69408,available,0
1.43E+12,80502,available,1
1.44E+12,451967,790,n40440.000
1.44E+12,315543,790,n75960.000
1.44E+12,241752,790,n31800.000
1.44E+12,379002,400,269011 n900.000 424566
1.43E+12,62866,202,1147367 720315 992035
1.43E+12,349737,112,679677
1.43E+12,371590,928,206386
1.44E+12,59691,839,180816
1.44E+12,346655,84,1293282
1.44E+12,320970,888,171969 306678 261498 n708.000 1175087 n384.000 1175087 n1032.000 424566 784581 1297729 n36.000 350726 30603 832471
1.44E+12,139898,available,0
1.44E+12,250696,888,387880 1128021
1.44E+12,428825,941,1093920 1329230
1.44E+12,386056,776,487526
1.43E+12,356283,698,857291
1.44E+12,37583,1092,291010
1.43E+12,350629,790,n236040.000
1.43E+12,440180,510,769062
1.43E+12,87824,776,1238111
1.44E+12,41932,790,n6240.000
1.43E+12,243355,available,0
1.43E+12,332761,888,1183340
1.43E+12,389545,227,827388
1.43E+12,218541,847,485556
1.43E+12,318871,790,n46188.000
1.43E+12,153280,892,769062
1.43E+12,218505,776,1104352
1.44E+12,102986,888,922755 232958 682219
1.44E+12,375492,698,1042791
1.44E+12,219936,962,664227 1305534 664227 463202 664227
1.44E+12,417464,790,n847200.000
1.44E+12,151839,available,0
1.43E+12,319910,categoryid,282
1.43E+12,80299,categoryid,1277
1.43E+12,305760,790,n37440.000
1.43E+12,281442,1032,703585
1.43E+12,188698,categoryid,1402
1.44E+12,269430,790,n76560.000
1.44E+12,99496,888,977238 771257 522237 816909 n683388.000 906640 1133979
1.43E+12,299256,561,101489
1.43E+12,14671,496,464704 826669 1176545
1.44E+12,76196,102,n216.000 396934
1.43E+12,373384,888,435907 573886
1.43E+12,121453,698,1037547
1.44E+12,466472,790,n39960.000
1.44E+12,156094,19,n96.000 639502 n168.000 350726
1.43E+12,459761,790,n37680.000
1.44E+12,84160,available,0
1.44E+12,285729,888,351505 n108.000 44585 113919 1284577 230420
